tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-11-10,Orbit,Sector 1,total,0.02991267823588,0.857530657855112,0.153110054898493,0.026594071904961,0.153110054898493,0.053187343311804,75,25.1305555555556,0
2021-11-10,Orbit,Sector 1,total,0.01572381268192,0.953472576365577,0.167298920452452,0.013239426312216,0.167298920452452,0.02647880821904,75,25.1305555555556,0.1
2021-11-10,Orbit,Sector 1,total,0.077362661655798,0.387567820273445,0.105660071478575,0.174754970621235,0.105660071478575,0.347729667602248,75,25.1305555555556,0.2
2021-11-10,Orbit,Sector 1,total,0.154586787517041,0.024803925193719,0.028435945617332,0.869470450454542,0.154586787517041,0.049607250210932,75,25.1305555555556,0.3
2021-11-10,Orbit,Sector 1,total,0.135963302752294,0.056861582719431,0.047059430382079,0.695783726621924,0.135963302752294,0.113704894239024,75,25.1305555555556,0.4
2021-11-10,Orbit,Sector 1,total,0.104338086290115,0.182362628977839,0.078684646844258,0.375429219140298,0.104338086290115,0.362609146434661,75,25.1305555555556,0.5
2021-11-10,Orbit,Sector 1,total,0.046682141409676,0.699654219263716,0.136340591724697,0.055973117469722,0.136340591724697,0.111929106450997,75,25.1305555555556,0.6
2021-11-10,Orbit,Sector 1,total,0.068900924800118,0.469228289179225,0.114121808334254,0.131374319544495,0.114121808334254,0.262190018595864,75,25.1305555555556,0.7
2021-11-10,Orbit,Sector 1,total,0.061081758225563,0.549276611157585,0.12194097490881,0.098988363078391,0.12194097490881,0.197800362571595,75,25.1305555555556,0.8
2021-11-10,Orbit,Sector 1,total,0.028544268818393,0.868609871441157,0.15447846431598,0.024931611757777,0.15447846431598,0.049862610462268,75,25.1305555555556,0.9
2021-11-10,Orbit,Sector 27,total,0.093281169887871,0.129228275407852,0.058737864754007,0.438297379224923,0.093281169887871,0.257922196262296,114,23.3185185185185,0
2021-11-10,Orbit,Sector 27,total,0.061774985231503,0.402399497791611,0.090244049410375,0.147073542551116,0.090244049410375,0.293245637984451,114,23.3185185185185,0.1
2021-11-10,Orbit,Sector 27,total,0.059781586470942,0.425815998963685,0.092237448170936,0.135167119919676,0.092237448170936,0.269693415195201,114,23.3185185185185,0.2
2021-11-10,Orbit,Sector 27,total,0.134954628669832,0.014240065668763,0.017064405972046,0.925209755130232,0.134954628669832,0.028480064158631,114,23.3185185185185,0.3
2021-11-10,Orbit,Sector 27,total,0.071236053523262,0.300122201818081,0.080782981118616,0.214152616221769,0.080782981118616,0.424197903824593,114,23.3185185185185,0.4
2021-11-10,Orbit,Sector 27,total,0.060016523997414,0.423026803893897,0.092002510644464,0.136531680365483,0.092002510644464,0.272395974962693,114,23.3185185185185,0.5
2021-11-10,Orbit,Sector 27,total,0.043939761251923,0.625747387046116,0.108079273389955,0.064746709690768,0.108079273389955,0.129460959884536,114,23.3185185185185,0.6
2021-11-10,Orbit,Sector 27,total,0.043018471767092,0.637661348519488,0.109000562874785,0.061812955840613,0.109000562874785,0.123599025165239,114,23.3185185185185,0.7
